NAMA KABUPATEN,NAMA DESA,DAYA TARIK,DESKRIPSI,ALAMAT LENGKAP,STATUS,EVENT,MAKANAN,KERAJINAN,KESENIAN,HOMESTAY,PENGELOLA,JARAK PUSAT KOTA,KONDISI JALAN,PAPAN PENUNJUK ARAH,foto_desa
Kabupaten Semarang,Jembrak,Kalimas,Tidak Ada,Desa Jembrak Kec.Pabelan,Berkembang,Tidak Ada,Bokong (Bolu Singkong),Keranjang Pindang,Turonggo Sakti,10 unit,Pokdarwis,Km,Baik,Ada,placeholder.jpg
Kabupaten Semarang,Jetis (Hawa Atis),"Srengkel Hue, produk pertanian","Desa dengan potensi berupa kebun bunga krisan, kebun salak serta pengrajin bordir","Jl. Dr. Cipto Mangunkusumo KM.05 Desa Jetis",Berkembang,Tidak Ada,kripik jamur,"Ronce Bunga, dan Kaligrafi, Bordir dan Jahit","Drumblek, Rebana",Tidak Ada,Pokdarwis,24 Km,Baik,Ada,placeholder.jpg
Kabupaten Semarang,Kebondowo,Rawa Pening,Desa wisata di pinggir rawa pening dengan landscape perbukitan indah,Desa Kebondowo Kecamatan Banyubiru,Tidak Ada,Tidak Ada,"udang goreng, peyek wader, ikan bakar",souvenir yang berbahan dari Enceng Gondok.,Seni Kuda Lumping,"2 unit, 4 kamar",Pokdarwis,18 Km,Baik,Ada,placeholder.jpg
Kabupaten Semarang,Grojogan Klenting Kuning,"grojogan/air terjun, dan hutan pinus",Desa wisata dengan tema wisata alam yang berupa air terjun dengan dinding tebing berwarna kuning dan air yang jernih,Dsn Kemawi Kec. Sumowono Kab. Semarang,Tidak Ada,Sedekah Desa,Bobor Centung,"Keranjang bambu, Kaca Befel, kaca hias",Reog Turonggo Aji,2 unit,Pokdarwis Klenting Kuning,26 km,Rusak,Ada,placeholder.jpg
Kabupaten Semarang,Losari (bantir Hills),Tidak Ada,Desa wisata berbasis alam berupa ekowisata,Tidak Ada,Berkembang,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Pokdarwis Gentur Cahaya Gumintang,Km,Tidak Ada,Ada,placeholder.jpg
Kabupaten Semarang,Rogo Mulyo,Batu Kembar Jatisari,Tidak Ada,Desa Plumutan Kec. Bancak Kab Semarang,Tidak Ada,Tidak Ada,Nasi Jagung,Rogo-rege,Noknik,4 Unit,POKDARWIS ROGO MULYO,Km,Tidak Ada,Tidak Ada,placeholder.jpg
Kabupaten Semarang,Sepakung,"Gumuk Reco, Cemoro Sewu, Air Terjun Goa Semar, kali kulon, bukit klarasan","Desa Wisata Sepakung yang berada di ketinggian 1200mdpl, menyuguhkan panorama-panorama alam yang sungguh mempesona. Salah satunya gumuk reco, gumuk reco berada di dusun kenongo, gumuk reco menyajikan panorama alam damparan sawah-sawah dan tebing-tebing tinggi.","Sepakung, Bnyubiru, Semarang, Jawa Tengah.",Berkembang,gantole digunug telomoyo dan merti dusun,"kripik pegangga, nasi jagung, kopi jangkung","bandul bahan kayu pinus, dan lain-lain","Reog, Rodat, Prajuritan","jmlah kamar 8 kamar kapasitas: 2 orang/ kamar",Pokdarwis dan BUMDES,5 Km,Baik,Ada,placeholder.jpg
Kabupaten Semarang,Bener Kaki Merbabu,"Tubing dan Pemandangan, Hutan Desa",Tidak Ada,"Jalan Lurik Manunggal RT.05 RW.01 Desa Bener, Kec.Tengaran",Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,placeholder.jpg
Kabupaten Semarang,Kampung Susu,Tidak Ada,Tidak Ada,"Desa Sumogawe Kec. Getasan, Kab. Semarang, Jateng",Tidak Ada,Tidak Ada,Olahan dari susu sapi segar,Kerajinan tangan dari bambu,"Reog, Drumblek, Krawitan, Prajuritan, kuda Lumping dan rodat",4 Unit,Pokdarwis Ken Nyusu,Tidak Ada,Tidak Ada,Tidak Ada,placeholder.jpg
Kabupaten Semarang,Gertas Lereng Kelir,Menikmati keindahan panorama alam pegunungan,Tidak Ada,"Dusun Gertas, Desa Brongkol RT 04/ RW 06, Kecamatan Jambu, Kabupaten Semarang",Tidak Ada,"Dandan Kali, Nyadran, Merti Dusun","Likak Likuk (Donat Jowo), Nasi rentung kelir (Rendang Jantung), Nasi thewel, Sego lodri, nasi goreng jagung, Sego gepeng gereh bakar (sego neton), Kopi Serai",Ayunan kayu,"Nadrak “Rukun Santoso”, Soreng “Tunas Muda Putra Mardi Irama”, Orkes Dangdut “Lansia Nada”",2 unit,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,placeholder.jpg
Kabupaten Semarang,Desa Wisata Belajen (KAMPUNG PELANGI),Danau Rawa Pening Bejalen,"DESA BEJALEN KEC. AMBARAWA KAB. SEMARANG",Tidak Ada,Tidak Ada,"Aneka Olahan Ikan Air Tawar, Oseng Genjer, Batagor Ikan Betutu, Stik Ikan Betutu, Aneka Rempeyek Hasil Tangkapan Rawa dll.",Tidak Ada,"Kuda Lumping, Kuda Blarak, Karawitan, Dangdut (Orkes Melayu Teranada), Rebana.",2 unit,Pokdarwis dan BUM Desa,Tidak Ada,Tidak Ada,Tidak Ada,placeholder.jpg
Kabupaten Semarang,Dewata Genting,wisata agro kelengkeng itoh,Tidak Ada,"jln Durian Desa Genting Kecamatan jambu kab. Semarang 50663",Tidak Ada,festifal desa gentig. Festial reok,"welcome drink jenang candil suwek & cilembu, emping ketan. Kripik tales, kripik jamur",tas pelepah pisang,Tidak Ada,Tidak Ada,Pokdarwis DEWATA Genting,Tidak Ada,Tidak Ada,Tidak Ada,placeholder.jpg
Kabupaten Semarang,Desa Wisata Kemetul,Eksplorasi Alam Humanisme,Tidak Ada,"Desa Kemetul, Kecamatan Susukan, Kabupaten Semarang, Indonesia.",Tidak Ada,Tidak Ada,Gemblong Chotot Dan Teh Kothok,Slet Siluet,Angguk dan Reog Sekar Kanthil,"20 Homestay + 4 Rumah Survival",Pokdarwis Sekar Kanthil,Tidak Ada,Tidak Ada,Tidak Ada,placeholder.jpg
Kabupaten Semarang,Desa Wisata Gemawang,Wisata Gunung Watu Gemawang,Tidak Ada,"Gemawang, Kec. Jambu, Kab. Semarang",Tidak Ada,Tidak Ada,Singkong Beku dan Kopi,Batik Gemawang,Tarian Topeng Kelana Lanceng,35,Pokdarwis Gemawangi,Tidak Ada,Tidak Ada,Tidak Ada,placeholder.jpg
Kabupaten Semarang,Desa Wisata Lerep,"Curug Indrokilo, Puncak Bidadari, Waduk Mini Embung Sebligo","Jl. Kalimasada No. 157 Dsn. Soka Desa Lerep Kec. Ungaran Barat",Tidak Ada,Tidak Ada,"kopi ceplus, lodek, dan bubur suweg, aneka kripik",Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,placeholder.jpg
Kabupaten Semarang,Senjoyo Village,Sungai Senjoyo,"Jl. Let Jend Soemitro Krajan RT 01 RW 01 Tegalwaton Kec Tengaran, Kab. Semarang",Tidak Ada,Kejurda Pordasi,Bakwan jermbak,Tidak Ada,Reog,"1 unit, 3 kamar",Senjoyo Village,Km,Tidak Ada,Tidak Ada,placeholder.jpg
Kota Semarang,Kandri,"Sawah terasering, Sendang/mata air","Desa Kandri ini juga memiliki karakteristik dari sebuah pananaman Desa Wisata tersebut. Dimana beberapa yang perlu kita ketahui tentang Desa Kandri ini adalah mengenai seni budaya tradisionalnya, dan juga potensi alamnya yang sampai saat ini masih dilestarikan",Desa Kandri Gunungpati,Berkembang,Nyadran Kali,Sego Kethek dan Krowotan,"Baik, sovenir kalung, miniatur patung dari kulit pohon","Tari matirta suci, kemplimg","100 unit, 120 kamar, kapasitas 120 orang",Pokdarwis Pandanaran,17 Km,Baik,Ada,placeholder.jpg
Kota Semarang,Wonolopo,"Sawah terasering, Sendang/mata air","pandansari adalah desa di kecamatan Paguyangan, Brebes, Jawa Tengah, Indonesia. Desa ini berada di sekitar 14 kilometer arah timur dari pusat pemerintah kecamatan. Paguyangan Mayoritas penduduk desa Pandansari bekerja di sektor pertanian, yakni sayur mayur",Desa Wonolopo Mijen,Berkembang,"Kirab Budaya, Wonolopo Festival dan Festival Durian",Sedo Gudangan dan Krowotan,Tidak Ada,"Rebana, Karawitan, Sepeda Roda Satu","20 unit, 80 kamar, kapasitas 60 ORANG",Pokdarwis Manggar,20 Km,Baik,Ada,placeholder.jpg
Kota Semarang,Nongkosawit,"Sawah terasering, Grojogan Air Mah Tukung","Desa Nongkosawit berasal dari kata ""Nongko Sak Sawit"" dalam bahasa Jawa. Artinya dulu ada pohon nangka yang sebesar 1 pohon (sak sawit)","Jl. Nongkosawit Utama No.3 RT02/RW01 Nongkosawit",Potensi,"Kirab Pusaka Kyai Bende, Festival Pohon, Apitan","Nasi Tedun/Taqir dan Trowodan jajan Pasar","Kincir Bambu, Kalung gelang jenetri (rudraksa)","Jaran kepang, Cokekan dan Kuntulan","45 unit, 100 kamar, 250 orang",Pokdarwis Kandang Gundung,10 km,Baik,Ada,placeholder.jpg
Kota Semarang,Cepoko,"Sawah Terasering, Agro wisata durian, Jambu kristal","Kota wisata memiliki kebun buah baru bernama kebun buah cepoko. Kebun buah yang dilaunching Pemerintah Kota Semarang, Februari 2017 lalu yang ditandai dengan panen raya ini.","cepoko Gunungpati",Potensi,Kirab Budaya,Tidak Ada,Tidak Ada,"Jaran kepang, Cokekan dan Kuntulan","10 unit, 50 kamar, 100 orang",Pokdarwis Joyokusumo,10 km,Baik,Ada,placeholder.jpg
Kota Semarang,Jatirejo,"Sawah terasering, Grojogan Air Mah Tukung","Desa Jatirejo dikenal dengan nama kampung ""KAKOLA"" kampung kolang-kaling sebagai sentra pembuatan kolang-kaling.","Jatirejo, Gn. Pati, Kota Semarang, Jawa Tengah 50223",Potensi,"Kirab Pusaka Kyai Bende, Festival Pohon, Apitan","Nasi Tedun/Taqir dan Trowodan jajan Pasar","Kincir Bambu, Kalung gelang jenetri (rudraksa)","Jaran kepang, Cokekan dan Kuntulan","45 unit, 100 kamar, 250 orang",Pokdarwis Kandang Gundung,10 km,Baik,Tidak Ada,placeholder.jpg
Kota Semarang,Desa Wisata Jamalsari / Kedungpane,Waduk Jatibarang,Nama Desa Jamalsari berasal dari tokoh masyarakat yang pertama kali tinggal di desa Jamalsari yang bernama Mbah Jamal,"Dk. Jamalsari RT 05 / ll Mijen Semarang",Berkembang,kirab prosesi resik-resik waduk,"Nasi Jantung Raja, Bir Plethok",Kerajinan dari barang bekas,Kuda Lumping,"15 kamar, 30 orang","13,5 Km","Rusak, panjang jalan rusak: 1 km",Tidak Ada,placeholder.jpg
Kota Semarang,Tugurejo,"Sawah terasering, Grojogan Air Mah Tukung, pantai, mangrove","Potensi paling besar di desa wisata Tapak Tugurejo yaitu destinasi mangrove. Rimba bakau yang melapisi pantai utara Semarang (Jawa) itu cukup lebat dan bagus untuk jadikan destinasi wisata, dan sebagai sarana pendidikan anak-anak.","Tapak, Tugurejo, Tugu, Kota Semarang, Jaawa Tengah 50152",Potensi,Tidak Ada,Seafood,Tidak Ada,Blekok,"5 kamar, 100 kamar, 150 orang",Pokdarwis,10 Km,Tidak Ada,Tidak Ada,placeholder.jpg
Kota Semarang,Purwosari,Sawah terasering,Desa Purwsari Mijen mempunyai potensi wisata selfie foto kekinian yang digandrungi kawula muda. Salah satunya adalah kebun Anggrek Sodong,"Purwosari, Mijen, Kota Semarang, Jawa Tengah 50217",Potensi,Anggrek Festival,"Nasi Tedun/Taqir dan Trowodan jajan Pasar",Kalung gelang jenetri (rudraksa),"Jaran kepang, Cokekan dan Kuntulan",Tidak Ada,Pokdarwis,25 Km,Baik,Ada,placeholder.jpg
Sragen,Desa Krebet Kecamatan Masaran,Sendang Emas,"Gemblak, Rt 30. Krebet, Masaran, Sragen",Tidak Ada,Event budaya desa Krebet,Kacang Oven,"Bantal Dakron, Kaca Ukir, Blangkon, Sangkar Burung",Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,placeholder.jpg
Sragen,Betisrejo,Sumber Air Panas Bayanan, Sumber Air Panas Kedung Pawon, Sumber Air Panas Gamping,Tidak Ada,"Desa Jambeyan – Jetis – Sukorejo, Kecamatan Sambirejo",Tidak Ada,Tidak Ada,Trowolo,Tidak Ada,Tidak Ada,Tidak Ada,Pokdarwis,Tidak Ada,Tidak Ada,Tidak Ada,placeholder.jpg
Sragen,Kliwonan,Tidak Ada,"Sebagai kawasan wisata belanja dan pendidikan, Sebagai kawasan klaster batik utama, Sebagai kawasan kesenian tradisional kentongan, Sebagai salah satu pusat perekonomian di Sragen","Desa Jambeyan – Jetis – Sukorejo, Kecamatan Sambirejo",Tidak Ada,Tidak Ada,Tidak Ada,"Tas Batik, Dompet Batik, Bantal Hias Batik, Selimut Batik",Kentongan,3 kamar,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,placeholder.jpg
Sukoharjo,Kenep,Kalimati (Embung yang ditumbuhi tanaman Enceng Gondok),"Kenep adalah Kelurahan yang berada di Kecamatan Sukoharjo, Kabupaten Sukoharjo, Provinsi Jawa Tengah. Sebagai Desa Wisata Kreatif, Kenep mempunyai banyak potensi wisata, namun yang telah banyak kegiatannya adalah wisata edukasi.","Desa Wisata Kreatif Kenep, Kelurahan Kenep, Kecamatan Sukoharjo, Kabupaten Sukoharjo",Berkembang,Grebeg Bengawan dan Festival Enceng Gondok Berbunga,"Jenang, Krasikan, Botok Miri",Batik,Tidak Ada,1 unit,Pokdarwis “Kampung Sanga”,6 Km,"rusak, Panjang jalan rusak: 2 Km",Ada,placeholder.jpg
Sukoharjo,Trangsan,Tidak Ada,"Trangsan adalah desa di kecamatan Gatak, Sukoharjo, Jawa Tengah, Indonesia. Desa Trangsan terkenal dengan sentra kerajinan rotan terbesar di Kabupaten Sukoharjo.","Desa Trangsan, Kel. Trangsan, Kec. Gatak, Kabupaten Sukoharjo",Berkembang,Grebeg Penjalin Rotan Trangsan,"Sambel Tumpang, Emping Mlinjo",Rotan,Tidak Ada,Tidak Ada,Pokdarwis “Mata Bangsa”,6 Km,Baik,Ada,placeholder.jpg
Sukoharjo,Wirun,Telaga Wirun (sebagai sarana pemancingan dan lomba dayung),"Desa Wisata Wirun menjadi salah satu desa wisata yang paling dikenal di Sukoharjo karena banyaknya potensi wisata yang dimiliki kawasan itu. Desa yang berada di Kecamatan Mojolaban itu pun memiliki akses yang mudah untuk dituju dari Kota Solo dan Karanganyar.","Desa Wirun, Kec. Mojolaban, Kabupaten Sukoharjo",Berkembang,Tidak Ada,Bakmi Jowo,"Gamelan, Genteng, Budidaya Tanaman Bonsai, Kain Jumputan",Tidak Ada,Tidak Ada,Masyarakat,10 Km,Baik,Ada,placeholder.jpg
Surakarta,Kampung Batik Kauman,Tidak Ada,"Kampung Batik Kauman juga menjadi pusat batik tertua di Kota Solo. Berlokasi tidak jauh dari jalan utama Slamet Riyadi dan Jalan Rajiman. Akses menuju Kampung Batik Kauman dapat ditempuh dengan bus Batik Solo Trans (BST) dari Stasiun Balapan.","Kauman, Pasarkliwon, Surakarta",Berkembang,Tidak Ada,"Ledre, dawet",Batik,Tidak Ada,Tidak Ada,Forum Kampung Wisata Batik Kauman,1 Km,Baik,Ada,placeholder.jpg
Surakarta,Kampung Batik Laweyan,Tidak Ada,"Kampung Laweyan merupakan kawasan sentra industri batik yang unik, spesifik dan bersejarah. Berdasarkan sejarah yang ditulis oleh R.T. Mlayadipuro desa Laweyan (kini Kampoeng Laweyan) sudah ada sebelum munculnya kerajaan Pajang.","Jl. Dr Rajiman 521 Kampoeng Batik Laweyan Surakarta",Berkembang,selawenan,"Ledre, kue apem",Tidak Ada,Tidak Ada,"25 Jumlah Kamar: 150",Forum Pengembangan Kampoeng Batik Laweyan,"3,7 Km",Baik,Ada,placeholder.jpg
Tegal Kabupaten,Cempaka,Telaga (Tuk Mudal),"Desa cempaka merupakan Desa Wisata yang berbasis pada kombinasi antara keunikan sumber daya alam dan aktivitas ekonomi kreatif sebagai daya tarik wisata utamanya. Terdapat daya tarik alam berupa telaga (Tuk Mudal), dimana di telaga ini dapat dilakukan aktivitas memancing sambil menikmati keindahan alam serta udara yang segar.","Jl. Desa Cempaka RT 02 RW 01 Kec. Bumijawa Kab. Tegal Indonesia",Potensi,"Festival Kampoeng Bambu, Ruwat Bumi","Serabi, Cukit, Cetot, Cangkang ndog","Kotak Tisu, Gantungan Kunci Bambu, Nampan Bambu, Tiker Bambu, Lukisan Siluet Bambu, Tempat Bolpoint Bambu.",Amuba (alunan musik bambu),37 Unit,Pokdarwis dan BUMDES,45 Km,Baik,Ada,placeholder.jpg
Tegal Kabupaten,Cikura,Hutan Pinus,"Desa Wisata Cikura merupakan desa Wisata Religi yang terletak di Desa Cikura Wilayah Kecamatan Bojong Kabupaten Tegal. Terdapat daya tarik berupa makam ulama besar Syech Armia yang dimakamkan di lingkungan pondok pesantren.","ponpes attauhidiyah Cikura RT 02 RW 01 kec. Bojong Kab. Tegal",Berkembang,Haul Syech Armia,kue pasung,Tidak Ada,Terbang jawa,Tidak Ada,Pokdarwis desa Cikura,27 Km,"rusak, Panjang jalan rusak: 3 km",Tidak Ada,placeholder.jpg
Tegal Kabupaten,Kaligayam,Tidak Ada,"Desa Wisata Kaligayam merupakan desa wisata religi yang terletak di Wilayah Kecamatan Talang Kabupaten Tegal Provinsi Jawa Tengah yang berjarak 3 Km ke arah utara dari Kota Slawi, memiliki 23 Rukun Tetangga yang dibawahi oleh 6 Rukun Warga.","Jl. Karyani No.1 RT. 08 Rw. 02 Kaligayam",Berkembang,Khaul KH. Abu ‘Ubaidah dan Khaul KH. Sa’id bin KH. Armia,Krupuk Rambak,Seni Kerajinan Bordir,Seni Hadroh,Tidak Ada,Pokdarwis Desa Kaligayam Kec. Talang,11 Km,"rusak, Panjang jalan rusak: 5 km",Ada,placeholder.jpg
Tegal Kabupaten,Muncanglarang,Sendang Kemadu,Sendang Kemadu adalah lokasi wisata yang berbentuk telaga. Merupakan sumber mata air warga dukuh pereng desa Muncanglarang Kecamatan Bumijawa untuk kebutuhan sehari-hari.,Desa Muncanglarang Kecamatan Bumijawa Kabupaten Tegal,Berkembang,Festival Budaya Daerah dan Seni,keripik pisang,Tidak Ada,Terbang Jawa dan Hadroh,Tidak Ada,Pokdarwis,35 Km,Baik,Ada,placeholder.jpg
Tegal Kabupaten,Sigedong,Kampoeng Sayur,"Kampoeng Sayur adalah lokasi wisata yang bernuansa alam, lokasi desa wisata berada di wilayah pegunungan sebagai penghasil sayur. Sebagian besar warga masyarakat bekerja sebagai petani sayur.","Desa Sigedong Kecamatan Bumijaw Kabupaten Tegal",Berkembang,Festival Kampoeng Sayur,"Ondol, Ganyong, Stek Kentang, Keripik Sayur",Tidak Ada,"Kuda Lumping, Kuntulan, Terbang Jawa, Hadroh","10, Jumlah Kamar: 13, Kapasitas: 2 orang",Pokdarwis dan BUMDES,45 Km,Baik,Ada,placeholder.jpg
Tegal Kota,Dukuh Kajongan,Wisata Mangrove,Sebuah desa yang menawarkan pengalaman wisata edukasi kepada pengunjung dengan menonjolkan keindahan ekowisata/agrowisata berupa area tambak ikan yang dikelilingi oleh tanaman mangrove dan memiliki banyak spot yang strategis untuk memancing ikan serta didukung oleh produksi hasil perikanan darat dan laut,Dukuh Kajongan Kelurahan Muarareja Keamatan Tegal Barat Kota Tegal,Berkembang,Tidak Ada,"Bandeng Presto, Ikan Bakar, Terasi",Kerajinan Kerang,Kesenian Balo-Balo,7 Unit,Pokdarwis Kajongan Deli,5 Km,Baik,Ada,placeholder.jpg
Temanggung,Liyangan,Tidak Ada,Desa wisata dengan karakteristik budaya yang memiliki peninggalan situs bersejarah abad Mataram Kuno yang sedang dalam proses ekskavasi,"Dn. Liyangan, Ds. Purbosari, Kec. Ngadirejo, Kab. Temanggung",Tidak Ada,Nyadran Tuk Tempurung,"Nasi jagung, Sirum kemar, kopi lanang","Kerajinan topeng, kostum tari tradisional, cinderamata kayu","kuda kepang, lengger","5, Jumlah Kamar: 5, Kapasitas: 30 orang",pokdarwis,20 Km,Baik,Ada,placeholder.jpg
Temanggung,Cepit Pagergunung,Pemandangan alam lereng Gunung Sumbing,Desa wisata dengan mengangkat tema alam pertanian tembakau dan sayuran khas lereng Gunung Sumbing,"Dn. Cepit, Ds. Pagergunung, Kec. Bulu, Kab. Temanggung",Berkembang,Nyadran Rejeb Plabengan,"nasi jagung, sawut, tempe ketan, kopi lamsi, teh maringgo","kerajinan pakaian badong, tenun lidi, tas pelepah pisang",Tari Kuda Lumping,"5, Jumlah Kamar: 5, Kapasitas: 30 orang",pokdarwis,15 Km,Tidak Ada,Tidak Ada,placeholder.jpg
Temanggung,Makukuhan,Tidak Ada,desa wisata yang mendukung aktivitas daya tarik wisata religi Ziarah Makam Ki Ageng Makukuhan,"Ds. Kedu, Kec. Kedu, Kab. Temanggung",Berkembang,Kirab Ki Ageng Makukuhan,"kupat sambel, ndog bulus, kuban ramban",Tidak Ada,sendratari Kembang Madu,"12, Jumlah Kamar: 12, Kapasitas: 50 orang",pokdarwis,6 Km,Baik,Ada,placeholder.jpg
Temanggung,Tirto Aji,Tidak Ada,desa wisata berbasis budaya masyarakat lokal berbasis pertanian dan budaya dengan didukung keberadaan Sendang Sidhukun sebagai daya tarik unggulan,"Ds. Traji, Kec. Parakan, Kab. Temanggung",Berkembang,Suran Traji,"kripik nila, jenang candhil, jamu jawa","keranjang tembakau, kurungan ayam",Kuda Lumping,"6, Jumlah Kamar: 6, Kapasitas: 30 orang",BUMDES,16 Km,Baik,Tidak Ada,placeholder.jpg
Temanggung,Dewi Eramaya (Desa Wisata Ngropoh),Tidak Ada,desa wisata yang memiliki potensi unggulan budi daya buah durian dengan didukung daya tarik wisata buatan Embung Abimanyu,"Ds. Ngropoh, Kec. Kranggan, Kab. Temanggung",Berkembang,Festival Durian Ngropoh,buah durian,Tidak Ada,"kuda lumping, warok","5, Jumlah Kamar: 5, Kapasitas: 30 orang",BUMDES,10 Km,"rusak, Panjang jalan rusak: 5 km",Tidak Ada,placeholder.jpg
Wonogiri,Conto,"Hutan Pinus, Air Terjun, Goa","Desa Conto merupakan desa wisata baru yang menawarkan berbagai wisata edukasi alam dan budaya. Desa Conto sendiri terletak di sisi selatan lereng Gunung Lawu dan secara administratif terletak di Kecamatan Bulukerto, Wonogiri, Jawa Tengah.","Jl Raya Bulukerto – Conto, Desa Conto, Kec. Bulukerto",Berkembang,"Reksa Bumi, Pawai Hari Santri Nasional","Cincau, Janggelan, Jamu, Nasi Tiwul, Gethuk, Gathot, Panggang, Wi Godok, Gendar, Pecel, Trancam, Nogosari, Klepon, Apem, Bothok, Tempe lam, Bunthil, Sandung Lamur, Krupuk Puli, Jenang, Arem-Arem, Lemper, Oblok-oblok, Jangan Lombok, Pathi Onggok, Sayur Klekah, Olahan Laron, Sambel Welut, Utri, Sadariah, Satelit, Satrio Mujung, Ontel, Pelas, Bongko.","Akarwangi, Ukir Sandal, Mebel, Terompet, Gelang Kopi, Layang-Layang, Dadak Merak, Topeng, Lukisan, Kendhang, Bunga Klobot","Reyog, Angklung, Karawitan",20 Unit,Pokdarwis,54 Km,Baik,Ada,placeholder.jpg
Wonogiri,Kepohsari,"Pesona Gunung Kotak, Air Terjun Banyu Nibo, Kampung Batu","Desa Kepuhsari merupakan salah satu desa di Kecamatan Manyaran Kabupaten Wonogiri wilayah Soloraya. Desa Kepuhsari bisa ditempuh dari Kota Solo dengan waktu tempuh kurang lebih 1 jam, dan dari Kota Yogyakarta dengan waktu tempuh kurang lebih 1,5 jam.","Desa Kepuhsari, Kec. Manyaran",Berkembang,Tidak Ada,"Tiwul, Besengek, Sayur Lombok, Bothok Daun Racun","Wayang Kulit, Souvenir Kulit, Anyaman Bambu","Reyog, Karawitan, Tayub, Wayang Kulit","38, Jumlah Kamar: 99 kamar, Kapasitas: 213 orang",Pokdarwis Tetuko,25 Km,Baik,Ada,placeholder.jpg
Wonosobo,Sembungan (Bukit Sikunir),"Telaga Cebong, Sunrise Bukit Sikunir",Wisata Alam Telaga Cebong Dan Sunrise di puncak bukit Sikunir,Cebong Sikunir,Maju,Tidak Ada,"carica, purwaceng, kentang godok",Tidak Ada,rodad,"100 Jumlah Kamar 250 Kapasitas: 500 orang",Pokdarwis/BUMDES,37 Km,Baik,Ada,placeholder.jpg
Wonosobo,Lembah Seroja,"Wisata alam Bukit Seroja, kebun teh Tambi",sebuah bukit di atas telaga menjer yang dikelilingi perkebunan teh,"Ds Maron Kec. Garung Wonosobo",Berkembang,Ruwatan rambut Gimbal,Tidak Ada,Tidak Ada,Calung,"10 Jumlah Kamar, 20 Kapasitas: .50 orang",Pokdarwis,10 Km,Baik,Ada,placeholder.jpg
Wonosobo,Pesona Bhima,"Sumber Mata Air sungai Serayu, Kawasan Wisata Dieng","Selain terdapat Daya Tarik Wisata Candi, Kawah, Telaga Warna dan sumber mata air serayu, Ds. Dieng Juga merupakan gerbang pendakian Gn. Prahu","Ds Dieng Kec. Kejajar Wonosobo",Berkembang,Prosesi Pengambilan Mata Air suci untuk acara Birat Sengkolo di Sumber Mata Air serayu dan Goa Semar,"Carica, Purwaceng, Kentang godok",Tidak Ada,Tari emblek,"35 Jumlah Kamar: 100 Kapasitas: .300.orang",Pokdarwis,30 Km,Baik,Ada,placeholder.jpg
Wonosobo,Krinjing (Bukit Sembrani),"Wisata alm Bukit Sembrani, pendakian Gunung Bisma, Curug Gendruwo","perbukitan di kaki Gn Bismo yang tertata asri yang menyuguhkan Wisata alam yang indah yang ditumbuhi hutan pinus, juga terdapat petilasan Bupati Tuban Ke III dan Beberapa Makam Yang dikeramatkan","Ds. Krinjing Kec. Watumalang Wonosobo",Berkembang,Tidak Ada,"Nasi Nasi Jagung, Buntil Pepes Teri, Madu lebah, jus kemar, jembawut",Sapu Glagah,Tidak Ada,"15 jumlah Kamar: 35 Kapasitas: 70 orang",Pokdarwis,20 Km,"Rusak, Panjang Jalan Rusak: 5 Km",Tidak Ada,placeholder.jpg
Wonosobo,Gajah Mada,Tidak Ada,"desa yang menyajikan kebun durian dengan hasil buah yang melimpah, terletak di tepian kota wonosobo dengan akses jalan yang mudah ditempuh oleh Wisatawan.","Ds. Wilayu Kec. Selomerto Wonosobo",Berkembang,Festival Durian,"Durian, Kueh Lompong, Pucung Kluwek",Tidak Ada,Tidak Ada,30 unit,Pokdarwis,6 Km,Baik,Tidak Ada,placeholder.jpg
Wonosobo,Lobang Sewu,"Waduk, Lobang Sewu (Jenis Bebatuan berlobang mirip candi ditepian Waduk)",kumpulan bebatuan di sepanjang tepian waduk yang mirip bangunan candi yang terbentuk oles ombak air waduk,"Desa Ero Rejo Wadaslintang Wonosobo",Tidak Ada,Tidak Ada,thiwul/leye (makanan dari ubi),Tidak Ada,Tidak Ada,"11 Jumlah Kamar: 22 Kapasitas: .50 orang",Pokdarwis/BUMDES,45 Km,Baik,Ada,placeholder.jpg
Wonosobo,Gerbang Dewa,Tidak Ada,"desa wisata yang menyuguhkan tari klasik dan tari kontemporer, juga merupakan pusat pelatihan tari lengger di Wonosobo","Ds Gianti, Kec. Selomerto Wonosobo",Berkembang,Nyadran,Tidak Ada,Tidak Ada,"Tari Lengger dan Tari Kuda Kepang, Tari Topeng","10 Jumlah Kamar: 20 Kapasitas: 50 orang",Pokdarwis,16 Km,"Rusak, Panjang Jalan Rusak: 3 Km",Ada,placeholder.jpg
