NAMA DESA,NAMA KABUPATEN,profil_desa
Desa Tlogoweru,Demak,"        Terletak di Kecamatan Guntur, mayoritas penduduk Desa Tlogoweru bermata pencaharian sebagai petani. Berawal dari keresahan para petani menghadapi hama tikus yang menyerang sawah mereka, timbullah sebuah inovasi system pertanian yang unik. System itu berupa pengendalian hama tikus sawah menggunakan media burung hantu jenis Tyto Alba. Di desa ini terdapat penangkaran dan pengembangbiakan burung hantu. Di area sawah juga ditempatkan kandang-kandang burung sehingga burung-burung hantu tersebut bisa memakan tikus-tikus yang ada di sawah. Cara ini terbukti efektif dapat membasmi hama tikus sawah dan meningkatkan produksi pertanian di Desa Tlogoweru. Sehingga hal ini kemudian dijadikan sarana study banding dari wilayah-wilayah lain. Selain melihat keunikan Tyto Alba, belajar menangkarkan, dan mempelajari system penanggulangan hama tikus sawah, pengunjung juga mendapatkan kesempatan langsung menjadi petani dengan berbagai aktivitasnya, mulai dari membajak, melakukan pemupukan, menanam benih dan memanen."
Tarub,Grobogan,"Petik Buah Belimbing K.A Joko Tarub, Sendang K.A Joko Tarub Nasi Jagung  HAUL K.A TARUB Nasi Jagung, Belimbing Tulup, Kipas dari bambu  Desa Wisata Tarub adalah sebuah destinasi wisata yang menggabungkan antara wisata religi dan wisata alam, sebelum berkembangnya wisata alam petik buah belimbing desa tarub sudah terkenal dari dahulu penyebabnya adalah adanya makam wali yakni Ki Ageng Tarub, salah satu penyebar agama islam di tanah jawa"
Banjarejo,Grobogan,"Situs Kerajaan Medang Kamulan, Situs Manusia Purba dan Situs fosil hewan purbakala Legenda Aji Saka dan Prabu Dewata Cengkar Rumah Fosil       Desa Banjarejo terletak di Kec. Gabus Kab. Grobogan yang memiliki luas 1.320 Ha terbagi menjadi 7 dusun. Desa Banjarejo lekat dengan legenda Aji Saka dan Prabu Dewata Cengkar dengan sebuah kerajaan bernama Medang Kamulan, desa Banjarejo juga terkenal dengan penemuan situs dan benda – benda purbakala bahkan banyak ditemukan juga fosil – fosil hewan purbakala."
Desa Wisata Langen Sari,Grobogan,"Pemandangan bukit lamping, outbond, selfie area Seni Barongan Pemancingan, Kolam Renang Wisata Religi : Watu Gethuk, Makam Ki ageng Jatianom Sedekah Bumi, Mandi 10 suro, Gelar wisata menjelang tahun baru Nasi Tiwul, Nasi Jagung, Ikan Bakar Batik dan Kerajinan Anyam-anyaman ( bambu ) Reog / Barongan Desa Wisata langensari menyajikan keindahan Alam di desa Jatipohon, pengunjung dapat menikmati suasana yang sejuk dan nyaman disertai dengan fasilitas : Kolam renang,Pemancingan, Wisata bukit lamping, outbond,pembuatan kerajinan bambu."
Desa Wisata Loko Joyo,Grobogan,"Goa Lawa dan Goa macan, air terjun gulingan    Sedekah Bumi Nasi Jagung  Barongan Desa Wisata Loko Joyo menampilkan keindahan  alam berupa air terjun gulingan serta Goa lawa dan Goa Macan"
Desa Wisata Penadaran,Grobogan,"Gua Maria Singo Barong, Karawitan Omah Udan Batik, Kuliner, Kerajinan Ngunduh Banyu Udan (Panen Air Hujan) Sayur Lodeh, Bothok, Tempe Buntel Batik dan Kerajinan Kayu Jati Barongan, Kethoprak, Guyon Maton Desa Penadaran Terletak di Kecamatan Gubug Kabupaten Grobogan berjarak sekitar 12 KM dari kota kecamatan Gubug dan 43 Km dari Purwodadi. Desa Penadaran memiliki keunikan yang tidak dimiliki ditempat lain seperti : Omah Udan, Omah Budaya, Omah Batik, Omah Tani, Gardu Pandang Bukit Bhayangkaki dan Gua Maria Sendang Jati"
Desa Wisata bondo,Jepara,Pantai sedekah laut   khaul mbah suto    
Desa teluk awur,Jepara,Pantai sedekah laut   khaul mbah suto    
Plajan,Jepara,"akar seribu Pura Dharma loka Museum gong perdamaian dunia,sirkuit bumi arofah  khaul mbah suto    "
Desa Wisata Tanjung,Jepara,"Jurang nganten,Kali bening,watu lawang,belik wungu Gong buyut agro wisata bukit tanjung  Festival Gong Buyut Dan Sedekah Bumi Urap Pakis, Menggleng, Gula Aren Anyaman Bambu Reog Desa tanjung merupakan desa yang terletak di dataran tinggi dan pegunungan yang kaya akan potensi alam dan budaya"
Desa Wisata Troso,Jepara, pembuatan tenun ATBM   Troso Festival  kain tenun ATBM ( alat tenun bukan mesin )  
Desa Wisata Tempur,Jepara,Pemandangan alam candi angin   lomban tempur kopi tempur   
Desa gemulung,Jepara,sendang kamulyan Proses pembuatan gula jawa    gula merah dari tebu kaligrafi kuningan  
Karimunjawa,Jepara,taman laut    lomban karimun sea food kayu setigi dan dewandaru Reog 
Desa kemojan,Jepara,taman laut kampung adat     sea food kayu setigi dan dewandaru  
Desa Wisata Wonorejoeloks,Karanganyar,"Panorama Alam  Kesenian dan cagar budaya Rumah pohon air terjunNdas Londo Pagelaran Seni Budaya, Karnaval Si Jarwo (Singkong Jarak Towo) dan Nasi monthok  Seni ukir, dan anyaman bambu Wayang Kulit, "
 Desa Wisata Argo Kemuning,Karanganyar,"Kebun Teh

  Pabrik Teh Outbond     "
Desa Segoro Gunung,Karanganyar,"Panorama Alam
   Para layang     "
Desa Girimulyo ,Karanganyar,"Grojogan Parangijo, Laras Madyo

 Kuda Kepang, Karawitan  Tanaman Hias     "
Desa Gumeng ,Karanganyar,"Candi Cetho, Kebun Teh
 Musik Beganjuran, Reog, Kampung Adat       "
Desa Wisata Blumbang,Karanganyar,"Pringgodani, Mondosiyo        "
Desa Wisata Kalisoro,Karanganyar,"Air Terjun Grojokan Sewu, Bumi Perkemahan Sekipan, Taman Wisata Baleambang
 Reog, Karawitan, Budaya Bersih Dusun Mondosio, Budaya Bersih Dusun Julungan
       "
Desa Wisata Argo Taman Hias Tawangmangu,Karanganyar,"Candi Menggung, Hutan Wisata Grojogan Sewu
  Upacara Adat Bersih Dusun Dukutan       "
Desa Wisata Kampung Batik Girilayu,Karanganyar,"Astana Giribangun

 Makam Mangkunegara IV, V, VII DAN VIII, Lesung, Rebana  Kerajinan Batik Tulis     "
Desa Wisata Pablengan,Karanganyar,Sapta Tirta Pablengan ( 7 Sumber Mata Air)        
Desa Wisata Kampung Purba Dayu,Karanganyar,Wisata Agro  Situs Manusia Purba      
Desa Wisata Krendowahono,Karanganyar,Mahesa Lawung        
Desa Wisata  Jatipuro,Karanganyar,"Wahyu Kliyu Karawitan, Reog       "
Desa Wisata Delingan,Karanganyar,"Waduk Delingan, Hutan Bromo, Bumi Perkemahan
        "
Desa Wisata Ganten,Karanganyar,"Mina Wisata, Kebun Karet
        "
Desa Berjo ,Karanganyar,"Grojogan Jumog, Tlaga Madirda Seni Lesung, Tek - Tek       "
Karangsambung,kebumen,"Pantai, Air Terjun di Pantai, View dari atas bukit ke Pantai  Outbound  Pesta Malam Pergantian Tahun Inthil, Oyek, Lobster, Lea Crispy, Mendoan Gede  Shalawatan
 "
Dewajati (Desa Wisata Jatijajar),kebumen,"Susur Goa Barat, Goa Jatijajar  Kampung Inggris Kebumen, Outbound  Bazar Ramadhan / Festival Seni dan Budaya Sale Pisang, Jenang Gantungan Kunci Forkesa (Forum Kesenian Desa) "
"Adiluhur, Kampung Wisata Inggris Kebumen",kebumen,"  Edukasi Praktik Berbahasa Inggris, Taman Reptil, Agrowisata Berbahasa
  Inggris, Museum Pertanian Kuno dan Dolanan Anak, Padepokan Karate
BKC
  Korean Festival, English Festival Sega Mogana, Pipis, Sambel Kating, Ciwel Tas Daur Ulang, Boneka Reptil Perca Ebeg Wadon Alasmalang yang dikolaborasikan dengan tari ular "
Candirenggo,kebumen,"Susur Goa Petruk, Air Terjun     Tempe Mendoan, Keripik Pisang, Sale Goreng, Keripik Legendar, Gula Jawa, Rica-rica Kelelawar
  Kuda Lumping siswo renggo budoyo "
Jemur Adventure Park,kebumen,  Outbound      
Maduretno,kebumen,"Susur Sungai, Susur Gumuk Pasir Pantai  Outbound, Paint Ball, Petik Buah Agrowisata  Fishing Paradise Jambu Kristal, Wiskuno Traditional Snack & Original Menu  Kesenian Kumbeng "
Pasir,kebumen,"Pantai, View dari atas bukit ke arah pantai    Sedekah Laut dan Sedekah Bumi Keripik Ikan, Keripik Pare, Ikan Asin, dan Gula Merah Miniatur Kapal Kuda Kepang "
Peniron,kebumen,"  Outbound, Zip Bike, Agrowisata, Susur Desa  Merdi Bumi Oyek Kaos, Gantungan Kunci, Bros Cepetan atau Dangsak "
Sempor,kebumen,"Susur Waduk  Sport Tourism, Tracking  Event Festival Kaliputih Mendoan Jumbo, Tumpeng Bosok  Kuda Lumping, Ketoprak, Dalang Cilik "
Sitiadi,kebumen,"  Edukasi Sapi Peranakan Ongol khas Kebumen  Kontes Sapi Nasi Mogana, Minuman Sajeng Pembuatan Tempe F4 ebeg "
Tunjungseto,kebumen,Edukasi Hutan Kota   Ziarah Krapyak Emping Mlinjo Kerajinan Bambu Hadroh dan Jamjaneng 
Karangduwur,kebumen,"Pantai, Air Terjun di Pantai, View dari atas bukit ke Pantai   Outbound  Pesta Malam Pergantian Tahun Inthil, Oyek, Lobster, Lea Crispy, Mendoan Gede  Shalawatan "
Puguh ,Kendal,Panorama Persawahan/ Kebun  Kesenian Jawa Kincir Angin / Castil  Situs sejarah / Batu Zoni  Merti Dusun Bun Jawa : apit Sambel Belut  Kerajinan kayu   Wisata alam dan Tradisi Budaya 
Cacaban,Kendal,"Air Terjun    Wisata Religi  Grebeg Suro  Nasi jagung goreng dan wingko babat  Ukiran lembah jati  Kesenian kuda lumping, rebana, campursari Wisata alam dan Religi "
Margosari ,Kendal,"Pedesaan  Kearifan lokal Gedong Margosari Asri Camping ground, dll  Singkong Legit  Batik, pembuatan gula jawa, songket Kuda lumping, tarian daerah "
Singorojo ,Kendal,"Rivertubing      Sego botok, sego wader, wader krispi dan krupuk saudara  Kuda lumping Wisata pemacu adrenalin, meluncur diatas ban mengarungi sungai Bodri dengan bebatuan yang berubah-ubah"
"Ds. Kedungboto, Kec. Limbangan",Kendal,"Wisata Alam Selo Arjuno    Semarak Hari Raya Nasi jagung ingkung dan Nasi thiwul Gelang, kalung dan kaos Kuda lumping dan Tarian topeng Wisata alam yang nonjol pemandangan alam dilihat dari batu yang menjulang tinggi dengan view kehutanan"
Jungsemi,Kendal,Pantai Indah Kemangi    Tahun baruan Aneka cemilan dari ketela singkong  Kesenian Singo Barong 
Getasblawong,Kendal,"Panorama Curug Sujan Nyadran / Khol Mbah Ronggo Kusumo   Bulan Suro  Ubi Gadung   Kegiatan ini dilakukan oleh warga Dukuh Getaskulon Desa Getasblawong setiap Bulan Suro bertempat di Makam dekat Tuk Dukun, dahulu orang-orang lebih mengenal dengan istilah “Takiran”. Identik dengan makanan sederhana yang dibungkus daun pisang dan dibagikan kepada seluruh warga"
Gentinggunung,Kendal,"Curug Terong Seni Tari Leak, Kuda Lumping, Tari Dayak Seni Tari Leak, Kuda Lumping, Tari Dayak Makam Pahlawan  Nasi jagung Anyaman bambu  Desa yang terletak di lereng gunung perahu dengan berbagai keunikan dan daya tarik yang mempesona diantaranya curug terong, kaya hasil alam dan sejarah perjuangan bangsa"
Ngrundul Kec. Kebonarum Klaten,Klaten,"Umbul Brondong dan Umbul Geneng Karawitan, Ketoprak, Jathilan, Keroncong Waterboom, Kolam Internasional, Camping Ground Perikanan & upacara Hindu Melasti Upacara keagamaan Hindu Melasthi & ketoprak Peyek cethol, serabi manis, ceriping, telur asin sulak bulu, sapu rayung, handycraft dan rajut benang ketoprak, reog, karawitan, keroncong hadroh sumber mata air umbul brondong dengan air yang sangat melimpah dan segar, berada dilokasi persawahan dengan dikelilingi vegetasi tumbuhan jembak yang sangat indah. disebelah utara juga terlihat jelas view gunung merapi"
Malangjiwan Kecamatan Kebonarum Klaten,Klaten,"Umbul Brintik, Umbul Betek, River Tubbing Seni kentongan, Karawitan, Kampung Gayeng, Brintik   Padusan sego pecel wader  kampong gayeng UMBUL BRINTIK air yang segar dan kandungan mineral yang tinggi selain menjadi tujuan wisata, juga dimanfaatkan terapi bagi berbagai penyakit, diantaranya syaraf kejepit, stroke, dll,  UMBUL BETEK airnya diambil sebagai air isi ulang dan memenuhi kebutuhan diklaten dan jogja. kedepan salah satunya akan dimanfaatkan menjadi kolam syar’i"
"Karangsalam, Glagah, Jatinom",Klaten,"  Wisata Edukasi Sapi perah dan aneka olahan susu      paket wisata sapi perah mulai dari memerah susu hingga proses pembuatan susu segar, permen dodol susu, keripik susu, stik susu, pudding susu, sabun susu"
Krakitan,Klaten,"Bukit Kapur Karawitan dan tari, Swalayan Embung Kuliner dan Kerajinan Grebeg Syawalan  Olahan Ikan  Anyaman enceng gondok Karawitan dan Tari Pemanfaatan lokasi bekas penambangan menjadi lokasi wisata alam"
Tegal Mulyo,Klaten,"Wana wisata Jathilan, Karawitan Embung tirtomulyo pendakian gunung merapi, kampung adat Gebyar Kesenian Nasi Jagung Handy craft  merupak daerah wisata yang potensi dengan pemandangan alam dan seni budaya"
Sidorejo,Klaten,"Wana wisata Ketoprak, Jathilan, Gejlug Lesung Ada Cagar Budaya Kirab Budaya Nyadran Nasi Jagung dan sayur kampung  Ketoprak, Jathilan, Gejlug Lesung merupakan daerah yang potensi dengan pemandangan alam dan suasananya"
Tlingsing,Klaten," Tenun Klasik lurik ATBM Bersih Dukuh Wayangan Makanan Olahan, Pertanian/sawah Wayangan/ Bersih Dukuh Makanan Olahan Criping Lurik  "
Tlogo Watu,Klaten,"Wisata Kalimanggal Sanggar Seni Wahyu tirto budoyo   Dandan Kali Manggal dan Bersih Dusun   Jathilan, Ketoprak, Wayang Orang, Karawitan Wisata Alam pegunungan dan kesenian tradisional"
Nglinggi,Klaten,"Air, tebing, sungai, sawah, kolam ikan toleransi, nglinggi damai  rencana wisata edukasi berbasis air     "
Jimbung,Klaten,Sendang Bulus  Taman Bulusan Makam Bupati Klaten I dan II Sebar Ketupat    Wisata alam dan buatan yang mempunyai cerita bersejarah 
Karangnongko,Klaten," Candi Merak / Dewi Camar , Karawitan, Jathilan, Ketoprak, Hadroh  Perikanan Melasthi Hindu, Gelar Budaya Nasi Sayur Wayang kayu, alat drumband Pedalangan, Jathilan, Tari tarian, Hadroh, Karawitan, Sanggar Seni Saraswati "
Sidowayah,Klaten,"Umbul Kemanten Gamelan Wisata Silabrak - Oasse Kampung Dolanan   Tenun handuk, Lurik  "
Gunung Gajah,Klaten,"Perbukitan Jathilan Gardu pandang, Bukit cinta Homestay Reog / Jathilan H+2 Lebaran Thiwul, olahan makanan kecil, telur asin  Jathilan Perbukitan yang tandus di setting menjadi wisata alam, gardupandang"
"Bugisan, Prambanan, Klaten",Klaten,"Wisata Candi Kembar, Plaosan Kesenian krawitan, Gejug Lesung, Jathilan Taman Lampion OutBound dan Bumi perkemahan Festival Candi Kembar Emping, Ampyang, Nasi Bakar Handy craft dari kayu dan kulit Krawitan, Gejug Lesung, Jathilan, Pringsedapur Wisata alam dan kesenian daerah juga sebagai area foto gratis"
Dwijo ( Desa Wisata Jombor),Klaten,"Sungai, sawah Pertunjukkan seni tradisi   Kirab Budaya Mucuki, Tradisi Mucuki, Sadranan, Tradisi Tandur Welut jajan pasar wayang kulit, jablak Tari, Ketoprak, Srandul, Wayang, Karawitan  "
Kampoeng Wisata Gerabah “Dewi Pajang”,Klaten," pembuatan gerabah putaran miring     Gerabah, Batik gerabah  "
Payung Lukis Juwiring,Klaten,"Pedesaan      Payung Lukis, Sangkar Burung  industri payung klasik"
Kampung Banyu Beku,Klaten,"Susur Sungai, Camping Ground, Tubing, Perahu  Flying Fox, Game anak-anak   Nasi Bumbung   "
Manjungan,Klaten,Umbul susuhan        sumber mata air yang terletak dipinggir jalan provinsi klaten – boyolali.
Desa Wisata Budaya Kebondalem Kidul,Klaten,"Sunrise gunung cilik tari kolosal ""ketam membalas budi"", gamelan, dolanan anak Gardu Pandang, Gasebo - gasebo, odong2, outbond Candi  Sojiwan festival candi sojiwan dan wiwit agung lumpia bonkid, sagon,wajik, lemper fiberglass, sutra alam,batik, jumputan pelangi Karawitan, tari kolosal  terletak disblah tenggara candi prambanan, dengan destinasi utama candi sojiwan, merupakan desa wisata berbackground budaya yg telah hidup ditengah2 masyarakat sejak dahulu,berupa tampilan2 seni gamelan maupun tarian dan jg dolanan anak seperti engsreng, eggrang dsb"
"Brajan, Prambanan",Klaten,"Bantaran kali woro jatilan, srandul,ketoprak out bond pelatihan jodangan  ketoprak, jatilan  menikmati keindahan alam dengan latar belakang gunung merapi"
Polanharjo,Klaten,"Sungai,-wisata air,  Polan Kali Kelen, Tubing  kolam renang anak Kerajinan kipas dan taman edukasi  Kuliner HIK Putra Plasa Kipas dan Gamelan  penggalian potensi alam di desa yang dialiri oleh sungai Pusur untuk dikembangkan sebagi Daya Tarik Wisata Polan – Kali Kelen., kolam renang anak dan tubing. Taman edukasi penangkaran burung titoalba dan didukung warga yang antusias untuk mewujudkan dan mengembangkan wisata diantaranya dengan adanya warung hik yang dikelola oleh anak-anak muda dibawah pengawasan bumdes dan pemerintah desa"
Ponggok,Klaten,"Umbul Ponggok  Ponngok Ciblon  Padusan Olahan khas Nila,mangut nila,gulai nila,pepes nila,nila bakar,nila goreng  Tari Sendang UMBUL PONGGOK merupakan sebuah kolam renang alami dengan dasar kolam Hamparan pasir luas dan bebatuan alami yang dikembangkan menjadi Daya Tarik Wisata snorkeling air tawar dan foto underwater. PONGGOK CIBLON merupakan sebuah kolam renang buatan yang di design untuk    anak dan dewasa,yang  dilengkapi dengan kids playground yang luas serta gasebo di atas kolam ikan untuk acara keluarga ataupun meeting kantor."
"“Watu Sepur”  Desa Jotangan, Bayat",Klaten,"Wisata Hutan dan batu purba  Gardu Pandang, Gasebo- Gasebo, ayunan,dll  Bersih Dusun Mendut, sagon, jenang ayu, wajik, lemper  Karawitan Hutan wisata dengan background watu sepur yang memanjang seperti sepur, panjangnya lebih kurang 100 m. Hutannya sudah  pernah mendapat sertifikat nasional skema SVLK dan sertifikat internasional skema FSC. Suasana sejuk sepanjang hari dan banyak burung liar berkicauan. "
Colo,Kudus,"agro wisata perkebunan kopi, gunung muria, air terjun monthel  Makam Sunan Muria, Sewu Kupat   Tradisi Wiwit Kopi dan Tradisi Sewu kupat Gethuk Nyimut, Jangklong, Pecel Pakis, Gedhang Byar, Jeruk Pamelo  Gamelan, Guyang Cekhatak Daya Tarik Wisata Colo merupakan kawasan dataran tinggi yang terdiri dari beberapa perbukitan atau pegunungan. Atraksi wisata yang dimiliki oleh desa colo antara lain, Makam sunan muria, agrowisata perkebunan kopi, gunung muria, air terjun monthel dan tradisi wiwit kopi. "
Kaliputu,Kudus," Kirab Tebokan, Pesarean Sedo Mukti, Tari Jenang Musium Jenang Sentra Jenang  Jenang  Tari Jenang Kaliputu dikenal sebagai sentra Jenang Kudus, makanan manis yang menjadi oleh-oleh khas kudus. Terdapat banyak industri rumahan yang memproduksi jenang. Desa ini juga memiliki atrkassi budaya yakni kirab tebokan"
Kaliwungu,Kudus,"Pesona Alam Desa Kaliwungu Kirab Haul Mbah Rogomoyo, Mapak Tanggal 1 Syuro (Sendang  Kaliwungu), Tirakatan Panen Padi (Nyi Growong), Tradisi 10 Syuro,Apitan.  Sentra Ukir Gebyok, Pembuatan Rumah Adat Kudus.  Arang-arang Kambang Ukir Gebyok Rumah Adat Kudus Seni Pencak Silat Tradisional “PATIH ARJUNA” Potensi yang dimiliki oleh desa kaliwungu adalah tradisi Haul Mbah Rogomoyo dan Sentra Ukiran Gebyok"
Kandangmas,Kudus,"Puncak Pati Ayam Makam Raden Ayu Nawangsih, Makam Raden Bagus Rinangku, Sendang Mbah Surmo Joyo, Petilasan Kyai Kuwir Logung, Trabas Adventure, Kali Gede  Sedekah Bumi, Sewu Ingkung   Kirab Budaya Sewu Ingkung Potensi yang dimiliki desa kandangmas adalah wisata religi yang berlokasi di dukuh Masin. "
Padurenan,Kudus," Makam Mbah Syarif, Kirab Maulidan Jawiyan,Kirab Obor, Terbang Papat, Terbang Modern  Sentra Bordir Kudus, Konveksi Kirab Maulidan Jawiyan Kue Kering Sagon Dan Semprit Bordir Terbang Papat Desa Padurenan terletak di kecamatan Gebog, Kabupaten Kudus. Desa ini memiliki beberapa potensi antara lain industri rumah bordir. Pembuatan bordir dilakukan bervariasi, mulai dari tradisional sampai yang modern"
Rahtawu,Kudus,"Gunung Rahtawu, Puncak Songolikur Petilasan   Gunung Sapta Argo    Daya Tarik Wisata ini mempunyai nilai budaya. Terdapat nama nama petilasan dari beberapa cerita pewayangan. Selain itu yang berhobi mandaki gunung dapat menyusuri jalan setapak menjelajahi medan pegunungan Rahtawu untuk menaklukkan puncak “songolikur”."
Terban,Kudus,"   Situs Purba Patiayam     Desa ini dikenal sebagai pusat peradaban di Kudus, karena terdapat situs purba Patiayam, yang mana ditempat ini dapat dijumpai beragam fosil dan stegodon. Dengan ini Patiayam dapat menjadi tempat wisata edukasi dengan nilai sejarahnya"
Loram Kulon,Kudus,"Masjid Wali dan Gapuro Padurekso Ampyang Maulid, Manten Mubeng Gapuro Loram Expo, Kampung Bandeng Kelompok kesenian rebana, rebana Jipin, Terbang Papat, Sepeda roda satu, Sentra tas dan konveksi, kuliner madu mongso, bandeng presto dan tahu bakso. Ampyang Maulid Sego Kepel dan Bandeng Presto Boneka, Kerajinan Tas, Dompet, Sabuk Terbang Papat, rebana Jipin, dan karawitan. "
Kampung Tirai Bambu ,Kudus,"Bercocok tanam disawah dan menanam buah di    Kebun Masjid wali AL Makmur warisan budaya    Rebo Wekasan Lentog Tanjung, Soto Kudus, Tahu Campur Aneka anyaman bambu, Aneka anyaman plastik daur ulang, Anyaman rotan, Seni lukis kaca Barongsai, Barongan, Terbang Papat, Karawitan
 "
Desa Jurang,Kudus,"River Tubing X-Jurang Teater GatanX, A-I-U Budaya, Karnaval Dolanan Tradisional Bendungan Karang Gayam  Budi daya Lele, Budi daya ikan nila, Budi daya sapi Karnaval Dolanan Tradisional Galecot, ento-ento Cobek dan kerajinan batu lainnya, hand craf dari benang kertas Teater Gatanx, Lentera 7 Nada, Terbang papat "
Kauman,Kudus,"
Makam Sunan Kudus, Masjid Al Aqsho, Menara Kudus Tradisi Buka Luwur Makam Sunan Kudus,Tradisi Dhandangan, Terbang Papat, Terbang Hadroh, Terbang Ziffin Rumah Adat Kudus (Benda Cagar Budaya (BCB) Pemukiman Kudus Tempo Dulu, Kerajinan Bordir Tradisi Buka Luwur Makam Sunan Kudus, Tradisi Dhandangan
 Jangkrik Goreng ( daging kerbau), Uyah Asem, Mahtum Daging, Mahtum Ayam, Tumpi Goyang, Intip Ketan
 Mukena, Gantungan Kunci, Bross Terbang Papat, Terbang Hadroh, Terbang Ziffin "
Margo Rejo,Kudus,"Panorama alam pegunungan ( Wisata hutan, Trekking dan Hiking menuju puncak Sapto Argo dan puncak 29), pertapaan /Petilasan tokoh pewayangan, Mata air dan wisata musiman tiap malam 01 sampai 10  suro ( satu sampai sepuluh Muharram ) serta 12 maulud Seni tradisional Tayub,Sintren,Kuda Kepang, Terbang Sembilan, Tradisi sedekh bumi,profesi Tujuh Gunung, Petilasan pewayangan ( Eyang Sakri,Abiyoso,Loko Joyo,Jonggring Saloko, Gajah Permodo dll )  Harimau Gunung,Kera,Perkebunan Kopi, dan buah local ( Jambu hijau ) tradisi Sapto Argo,  Sedekah bumi    "
Wonosoco,Kudus,"Acara tradisi, sendang (mata air), gua, pegunungan karst Seni tradisional ketoprak, wayang klitik, tari tradisional       "
Wates,Kudus,Wisata Agro    Munjung Wong Tuwo    Desa Wates berada di kecamatan Undaan Kudus. Wates memiliki potensi-potensi antara lain wisata Agro dan wisata budaya yaitu “Munjung Wong Tuwo”.
Candirejo,Magelang Kabupaten,"Watu Kendil, Banyu Asin Makam Kyai Mijil, Belajar Gamelan Agrowisata  Saparan, Sadranan Karah dan Ceriping Ketela Pahat Batu Merapi, Wayang Kertas Jathilan  Desa Wisata Candirejo yang berjarak 2 km dari candi Borobudur dan sudah relatif lebih berkembang dibandingkan desa-desa lainnya karena merupakan cikal bakal Desa Wisata di Kabupaten Magelang memiliki suasana kehidupan perdesaan yang sangat menarik bagi wisatawan, dilengkapi dengan pilihan homestay yang cukup beragam. Desa Wisata Candirejo menawarkan beberapa paket wisata/ keliling desa dengan andong atau dokar"
Wanurejo,Magelang Kabupaten,"Mata Air Suci Umbul Tirta, Mata Air Asin Makam GPH Tedjo Kusumo (cikal bakal Desa) Galeri Lukis  Gelar Budaya Wanurejo Criping Gaya Baru, Clorot,Tempe Tradisioal kayu, gypsum, bamboo, batik,souvenir Kobro, Dayakan, pitutur, wayang kulit,tong-tong lek, musik bambu Desa Wanurejo terletak 1.5 km dari candi Borobudur lebih kaya dengan potensi keseniannya, seperti Rumah Seni Elo Progo, Lidiah Art, dan terdapat koperasi desa yang memproduksi kerajinan alami termasuk kerajinan dari limbah pasir dan abu Gunung Merapi"
Mangli,Magelang Kabupaten,"Panorama Gunung, Air Terjun, Camping Ground  Gardu Pandang, Rumah Pohon  Merti Desa Nasi Jagung, The Asli mangli, Kripik Daun Straowbery, Kripik Rendeng Limbah minuman gelas, akseoris leak Kuda lumping, sandul, topeng ireng  Desa wisata Mangli terletak di Ketinggian 1.570 m.dpl.dengan letak geografis S.0740810.dan E.110.10049”.Dari Gardu Pandang Mangli bias melihat 9 gunung yaitu: Sumbing, Merapi, Merbabu, Andong, Telomoyo,Ungaran Tidar, Menoreh, dan Giyanti."
Desa Wisata Kembangkuning,Magelang Kabupaten, Candi Selogriya       
Desa Wisata Mangunsari,Magelang Kabupaten, Kesenian jatilan       
Desa Wisata Prajeksari ,Magelang Kabupaten,"Jelajah Gunung Payung, Wisata air tubing Makam Kiyai Asrori Ahmad     Kerajinan sangkar burung jathilan, kubro siswa, kuda
lumping "
Desa Wisata Sutopati,Magelang Kabupaten,"Curug Silawe, Curug Sigetik       lengger, topeng ireng, tari sulasih, sontoloyo "
Desa Wisata Banyubiru,Magelang Kabupaten,"Bukit Gununggono       pembuatan pigura, kaligrafi, kerajinan dari akar pohon, pembuatan pot bunga, pembuatan tempe, rengginang, slondok, jipang, peyek, rambak, keripik pisang, dan kue sledri Jathilan, Topeng Ireng, Barongsai naga Loreng "
Desa Wisata Sumber,Magelang Kabupaten,"Wisata susur sungai, camping       Jathilan, Kubro Siswo, Ketoprak, Keroncong, rebana "
Desa Wisata Pagergunung,Magelang Kabupaten," Wayang Kulit, Ketoprak, Tarian Kobra, Kuda Lumping, Soreng, Kesenian Laras Madya, Konthulan
      Wayang Kulit, Ketoprak, Tarian Kobra, Kuda Lumping, Soreng, Kesenian Laras Madya, Konthulan
 "
Desa Wisata Seloprojo,Magelang Kabupaten,"Air terjun Sumuran      Pembuatan anyaman tas, pembuatan anyaman keranjang tas, pembuatan
jenang, kerajinan mendeng, pertanian
 wayang kulit, kesenian leak dan putri angsa, Kuda lumping dan jathilan, kesenian tari buto,
kesenian sorengan
 "
Desa Wisata Munengwarangan ,Magelang Kabupaten,"Wisata Goa Slandak, Grenjengan Kembar makam kiyai besar      Kesenian Soreng, Kesenian Topeng ireng "
Desa Wisata Banyuroto,Magelang Kabupaten,"Ketep Pass dan Taman Wisata Lereng Gunung Merapi     Hasil pertanian yang mampu dijadikan produk unggulan adalah stroberi, tomat cherry, pepaya california dan cabai   "
Desa Wisata Mangunsari,Magelang Kabupaten, Kesenian jatilan      Kesenian jatilan 
Desa Wisata Ketep,Magelang Kabupaten,"Wisata panorama Ketep pass       Kesenian
jathilan , kubra siswa
 "
Desa Wiata Tamanagung,Magelang Kabupaten,"   Kolam renang, Taman Bambu Runcing    Kobrosiswo "
Desa Wisata Gunungpring,Magelang Kabupaten," Wisata religi makam aulia   kirab budaya tahunan yang diselenggarakan oleh puroloyo
gunungpring, Pondok pesantren
   Kubro Siswo, Topeng Ireng, shalawatan,Hadrah "
